150-500人,"年终分红,绩效奖金,定期体检,年底双薪",3-5年,本科,财务数据分析师,10k-20k,顺联动力,浙江顺联网络科技有限公司
500-2000人,"绩效奖金,股票期权,年底双薪,专项奖金",不限,本科,数据分析建模,15k-30k,个推,浙江每日互动网络科技股份有限公司
2000人以上,"技能培训,免费班车,专项奖金,岗位晋升",应届毕业生,不限,数据分析,8k-15k,圆通,圆通速递有限公司
150-500人,"股票期权,绩效奖金,专项奖金,年终分红",1-3年,本科,医药数据分析,15k-30k,康策网络,杭州康策网络科技有限公司
2000人以上,"带薪年假,定期体检,免费班车,领导好",应届毕业生,本科,数据分析师（社招P6）,14k-28k,同花顺,杭州同花顺数据开发有限公司
2000人以上,,不限,本科,bi工程师/数据分析,25k-45k,突思,新突思电子科技（上海）有限公司
500-2000人,"两次加薪,弹性工作,期权丰厚,两次晋升",应届毕业生,本科,数据分析师（2020校招-杭州）,12k-18k,酷家乐,杭州群核信息技术有限公司
500-2000人,"技能培训,免息贷款,岗位晋升,扁平管理",应届毕业生,本科,校招岗位：数据分析师,10k-13k,畅唐网络,浙江畅唐网络股份有限公司
500-2000人,"绩效奖金,股票期权,五险一金,午餐补助",应届毕业生,硕士,数据分析师【2020届校招】G00880,10k-15k,云集,云集共享科技有限公司
2000人以上,"带薪年假,通讯津贴,定期体检,午餐补助",应届毕业生,本科,数据分析师（2020届）,3k-5k,鼎捷软件,鼎捷软件股份有限公司
150-500人,,3-5年,本科,数据分析,15k-25k,新南方影视,江苏新南方影视文化有限公司苏州分公司
50-150人,"节日礼物,带薪年假,绩效奖金,岗位晋升",3-5年,本科,数据分析师,10k-20k,胄天科技,浙江胄天科技股份有限公司
150-500人,"海量大数据,世界级产品,AI,智能供应链",应届毕业生,本科,数据分析师,8k-15k,Club Factory,杭州嘉云数据科技有限公司
15-50人,"弹性工作,技能培训,五险一金",3-5年,大专,市场专员兼数据分析师,6k-8k,杭州光奇犇乐电子商务有限公司,杭州光奇犇乐电子商务有限公司
150-500人,"技能培训,股票期权,带薪年假,绩效奖金",应届毕业生,本科,业务与数据分析师,9k-15k,览众数据,杭州览众数据科技有限公司
